"","IncomeProp","Sex","Married","Co.habitate","Divorced","Widowed","AgeProp","NoHigh","SomeHigh","GradHigh","SomeColl","GradColl","Managerial","Sales","Laborer","Cleric","Homemaker","Student","Military","Retired","LivedProp","Not.Married.Dual","DualIncome","Household","Householdu18","Own","Rent","House","Condo","Apartment","MobileHome","American.Indian","Asian","Black","EastIndian","Hispanic","Pacific.Islander","White","English","Spanish"
"22",75,2,1,0,0,0,39.5,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0,0,5,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"23",62.5,1,1,0,0,0,39.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"24",22.5,2,0,0,1,0,49.5,0,0,0,1,0,0,1,0,0,0,0,0,0,5,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"25",5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"26",75,1,1,0,0,0,29.5,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"27",45,1,1,0,0,0,39.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"28",75,1,1,0,0,0,39.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"29",35,1,1,0,0,0,39.5,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"30",22.5,2,0,0,1,0,70,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"31",35,2,0,0,1,0,39.5,0,0,0,0,1,1,0,0,0,0,0,0,0,8.5,1,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"32",62.5,2,1,0,0,0,39.5,0,0,0,1,0,1,0,0,0,0,0,0,0,8.5,0,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"33",5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"34",5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"35",5,1,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"36",62.5,2,1,0,0,0,39.5,0,0,0,1,0,0,0,0,0,1,0,0,0,8.5,0,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"37",12.5,2,1,0,0,0,70,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"38",62.5,2,1,0,0,0,39.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"39",75,1,1,0,0,0,49.5,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"40",27.5,2,0,0,1,0,39.5,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"41",12.5,2,0,0,0,1,59.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"42",5,1,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"43",62.5,2,1,0,0,0,39.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"44",62.5,2,1,0,0,0,49.5,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"45",12.5,2,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"46",35,2,1,0,0,0,59.5,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"47",62.5,2,1,0,0,0,49.5,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"48",35,2,1,0,0,0,59.5,0,0,1,0,0,0,0,0,0,1,0,0,0,8.5,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"49",62.5,2,1,0,0,0,39.5,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"50",35,2,1,0,0,0,29.5,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,5,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"51",22.5,2,0,0,0,0,15.5,0,1,0,0,0,0,1,0,0,0,0,0,0,12,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"52",45,1,0,0,1,0,49.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
"53",5,1,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,8.5,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"54",75,2,1,0,0,0,49.5,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"55",17.5,1,1,0,0,0,15.5,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"56",5,1,0,0,0,0,15.5,1,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,2.85182176839174,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"57",5,1,0,0,0,0,15.5,1,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"58",75,2,1,0,0,0,39.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"59",62.5,2,1,0,0,0,59.5,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"60",5,2,0,0,1,0,49.5,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"61",62.5,1,1,0,0,0,29.5,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"62",22.5,1,0,0,1,0,39.5,0,0,1,0,0,0,0,1,0,0,0,0,0,12,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"63",62.5,2,1,0,0,0,29.5,0,0,0,0,1,1,0,0,0,0,0,0,0,8.5,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"64",45,1,1,0,0,0,70,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"65",17.5,2,1,0,0,0,49.5,0,0,0,1,0,0,0,0,0,1,0,0,0,8.5,1,0,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"66",5,1,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,5,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"67",5,1,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"68",45,2,1,0,0,0,39.5,0,0,0,1,0,0,0,0,0,1,0,0,0,8.5,0,0,4,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"69",5,1,0,0,0,0,15.5,1,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"70",75,2,1,0,0,0,59.5,0,0,0,0,1,1,0,0,0,0,0,0,0,8.5,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"71",17.5,2,0,0,1,0,39.5,0,1,0,0,0,1,0,0,0,0,0,0,0,12,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"72",75,2,1,0,0,0,39.5,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"73",62.5,2,1,0,0,0,29.5,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"74",5,1,0,0,0,0,15.5,0,1,0,0,0,0,0,0,1,0,0,0,0,12,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"75",35,2,1,0,0,0,49.5,0,0,1,0,0,0,0,0,0,1,0,0,0,8.5,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"76",12.5,2,1,0,0,0,59.5,0,0,1,0,0,0,0,0,0,0,0,0,1,8.5,0,0,2.85182176839174,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"77",22.5,2,0,0,0,0,29.5,0,0,0,0,1,1,0,0,0,0,0,0,0,12,1,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"78",17.5,2,1,0,0,0,70,0,0,1,0,0,0,0,0,0,1,0,0,0,8.5,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"79",62.5,2,0,1,0,0,21,0,0,0,0,1,1,0,0,0,0,0,0,0,8.5,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"80",27.5,1,1,0,0,0,29.5,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"81",35,2,0,0,0,0,39.5,0,0,0,0,1,0,0,0,0,1,0,0,0,8.5,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"82",75,1,1,0,0,0,59.5,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"83",12.5,2,1,0,0,0,21,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,4,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"84",12.5,2,0,1,0,0,39.5,0,0,0,1,0,0,0,1,0,0,0,0,0,8.5,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"85",75,2,1,0,0,0,39.5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"86",22.5,1,1,0,0,0,29.5,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"87",17.5,1,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,1,0,0,8.5,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"88",27.5,2,1,0,0,0,21,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"89",27.5,1,0,0,1,0,59.5,0,0,1,0,0,0,0,0,0,0,0,0,1,8.5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"90",75,2,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,1,0,0,5,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"91",62.5,2,1,0,0,0,59.5,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"92",75,1,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,1,0,0,12,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"93",75,1,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,1,0,0,12,1,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"94",45,2,1,0,0,0,59.5,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"95",62.5,2,1,0,0,0,59.5,0,0,1,0,0,0,1,0,0,0,0,0,0,12,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"96",17.5,1,1,0,0,0,70,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"97",45,2,1,0,0,0,59.5,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"98",27.5,2,1,0,0,0,70,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"99",5,2,0,0,1,0,70,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"100",75,2,1,0,0,0,49.5,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"101",22.5,2,0,0,0,0,39.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,1,0,2.85182176839174,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"102",62.5,2,1,0,0,0,49.5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"103",45,2,1,0,0,0,39.5,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"104",27.5,2,0,0,0,0,15.5,0,0,1,0,0,0,0,0,0,0,0,0,0,8.5,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"105",35,1,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,1,0,0,12,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"106",62.5,1,0,0,0,0,15.5,0,1,0,0,0,0,1,0,0,0,0,0,0,12,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"107",5,1,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"108",45,2,0,0,0,0,15.5,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"109",5,2,0,0,0,0,21,0,0,1,0,0,1,0,0,0,0,0,0,0,12,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"110",45,2,1,0,0,0,59.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,1,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"111",35,2,1,0,0,0,49.5,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"112",62.5,1,1,0,0,0,29.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"113",75,1,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"114",22.5,2,0,1,0,0,29.5,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"115",27.5,2,0,0,0,0,70,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"116",27.5,2,1,0,0,0,70,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"117",12.5,2,0,0,1,0,29.5,0,0,0,1,0,0,0,0,1,0,0,0,0,8.5,1,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
"118",17.5,2,1,0,0,0,21,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"119",35,1,0,0,0,0,49.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
"120",45,2,0,0,0,1,70,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"121",45,2,0,0,1,0,70,0,0,0,0,1,0,0,0,0,0,0,0,1,8.5,1,0,2.85182176839174,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"122",45,2,0,0,1,0,39.5,0,0,0,1,0,0,0,0,1,0,0,0,0,12,1,0,2.85182176839174,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"123",5,2,0,0,0,0,15.5,1,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,2.85182176839174,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"124",75,2,1,0,0,0,29.5,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"125",62.5,2,0,1,0,0,49.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"126",62.5,2,0,1,0,0,49.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"127",5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,8.5,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"128",62.5,2,1,0,0,0,39.5,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"129",45,2,0,0,0,0,39.5,0,0,1,0,0,0,0,0,0,0,0,0,0,8.5,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"130",35,2,0,0,1,0,29.5,0,0,0,1,0,0,0,0,0,1,0,0,0,12,1,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
"131",62.5,1,1,0,0,0,59.5,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,2.85182176839174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",22.5,2,1,0,0,0,49.5,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"133",75,2,1,0,0,0,49.5,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"134",5,1,0,0,0,0,15.5,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,5,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"135",62.5,2,1,0,0,0,49.5,0,0,0,1,0,1,0,0,0,0,0,0,0,8.5,0,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"136",62.5,2,1,0,0,0,59.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"137",5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,8.5,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"138",75,2,1,0,0,0,49.5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"139",5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,0,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"140",45,1,1,0,0,0,39.5,0,0,0,1,0,1,0,0,0,0,0,0,0,8.5,0,1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"141",75,1,1,0,0,0,39.5,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"142",45,1,1,0,0,0,70,0,0,1,0,0,1,0,0,0,0,0,0,0,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"143",45,1,1,0,0,0,70,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"144",22.5,1,0,0,0,0,21,0,0,0,1,0,1,0,0,0,0,0,0,0,8.5,1,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
"145",45,2,0,0,1,0,49.5,0,0,0,1,0,1,0,0,0,0,0,0,0,8.5,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"146",5,2,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"147",45,1,1,0,0,0,70,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"148",5,1,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2.85182176839174,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
"149",27.5,1,1,0,0,0,70,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"150",75,2,1,0,0,0,39.5,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"151",12.5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,1,0,0,0,0,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"152",12.5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,1,0,0,0,0,12,1,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"153",62.5,1,1,0,0,0,59.5,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"154",62.5,2,1,0,0,0,39.5,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"155",75,2,1,0,0,0,39.5,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"156",75,2,1,0,0,0,29.5,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"157",75,2,1,0,0,0,39.5,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
